Question,Equation,Answer,Numbers
"At Oliver 's Restaurant a group with number0 adults and number1 children came in to eat . If each meal cost number2 dollars , how much was the bill ?",* number2 + number0 number1,18.0,2.0 4.0 3.0
"In a school , there are number0 girls and number1 boys . How many pupils are there in that school ?",+ number0 number1,929.0,542.0 387.0
Connie has number0 red markers and number1 blue markers . How many markers does Connie have altogether ?,+ number0 number1,3343.0,2315.0 1028.0
The town of Milburg has number0 grown - ups and number1 children . How many people live in Milburg ?,+ number0 number1,8243.0,5256.0 2987.0
Mike has number0 baseball cards . Sam bought number1 of Mike 's baseball cards . How many baseball cards does Mike have now ?,- number0 number1,74,87.0 13.0
Kelly 's chemistry textbook weighs number0 pounds and her geometry textbook weighs number1 of a pound . How much more does the chemistry textbook weigh than the geometry textbook ?,- number0 number1,6.5,7.125 0.625
Jennifer starts with number0 apples . She finds another number1 . How many apples does Jennifer end with ?,+ number0 number1,81.0,7.0 74.0
There are number0 pigs in the barn . Some more come to join them . Now there are number1 pigs . How many pigs came to join them ?,- number1 number0,22.0,64.0 86.0
Tom has number0 yellow balloons . Sara has number1 yellow balloons . How many yellow balloons do they have in total ?,+ number0 number1,17.0,9.0 8.0
There are number0 oak trees currently in the park . Park workers had to cut down number1 oak trees that were damaged . How many oak trees will the park have when the workers are finished ?,- number0 number1,7.0,9.0 2.0
Mrs. Hilt read number0 books . Each book had number1 chapters in it . How many chapters did Mrs. Hilt read ?,* number0 number1,68.0,4.0 17.0
Juan ran number0 miles at number1 miles per hour . How long did Juan run ?,/ number0 number1,8.0,80.0 10.0
"Jovana filled her bucket with number0 pounds of shells . If she adds number1 more pounds of shell to fill her bucket , how many pounds does she have ?",+ number0 number1,17.0,5.0 12.0
"The cafeteria had number0 apples . For lunch they handed out number1 to students and decided to use the rest to make pies . If each pie takes number2 apples , how many pies could they make ?",/ - number0 number1 number2,9.0,96.0 42.0 6.0
The schools debate team had number0 boys and number1 girls on it . If they were split into groups of number2 how many groups could they make ?,/ + number0 number1 number2,8.0,26.0 46.0 9.0
Brenda has number0 apples . She gets number1 more from Willie . How many apples does Brenda have in all ?,+ number0 number1,71.0,34.0 37.0
"On Saturday , Sara spent $ number0 each on number1 tickets to a movie theater . Sara also rented a movie for $ number2 , and bought a movie for $ number3 . How much money in total did Sara spend on movies ?",+ + * number1 number0 number2 number3,36.78,10.62 2.0 1.59 13.95
There were number0 roses in the vase . Mary cut some roses from her flower garden . There are now number1 roses in the vase . How many roses did she cut ?,- number1 number0,10,6.0 16.0
"Olivia and her mom were picking carrots from their garden . Olivia picked number0 and her mother picked number1 . If only number2 of the carrots were good , how many bad carrots did they have ?",- + number0 number1 number2,15.0,20.0 14.0 19.0
"A ship is filled with number0 tons of cargo . It stops in the Bahamas , where sailors load number1 tons of cargo onboard . How many tons of cargo does the ship hold now ?",+ number0 number1,14696.0,5973.0 8723.0
"A trivia team had number0 members total , but during a game number1 members did n't show up . If each member that did show up scored number2 points , how many points were scored total ?",* number2 - number0 number1,64.0,12.0 4.0 8.0
"The school cafeteria had number0 apples . If they used number1 to make lunch for the students and then bought number2 more , how many apples would they have ?",- + number0 number2 number1,46.0,38.0 20.0 28.0
"On a hot day , Sam poured number0 bucket of water into a plastic wading pool . A few minutes later he added another number1 buckets . How much water did Sam pour into the pool ?",+ number0 number1,9.8,1.0 8.8
Ellen went to a garage sale to buy chairs . Each chair cost number0 dollars . How much money did Ellen spend for the number1 chairs she bought ?,* number0 number1,180.0,15.0 12.0
"Isabel picked number0 flowers for her friend ’s wedding . She was making bouquets with number1 flowers in each one . If number2 of the flowers wilted before the wedding , how many bouquets could she still make ?",/ - number0 number2 number1,7.0,66.0 8.0 10.0
"There school 's baseball team had number0 new players and number1 returning players . If the coach put them into groups with number2 players in each group , how many groups would there be ?",/ + number0 number1 number2,2.0,4.0 6.0 5.0
Christopher strolled number0 miles at number1 miles per hour . How long did Christopher stroll ?,/ number0 number1,1.25,5.0 4.0
There are number0 birds on the fence . number1 more birds land on the fence . How many birds are on the fence ?,+ number0 number1,20.0,12.0 8.0
"If Karen sold number0 boxes of Tagalongs , how many cases of number1 boxes does Karen pickup from the cookie mom ?",/ number0 number1,3.0,36.0 12.0
Martha is inviting number0 friends to a party . She has number1 cookies . How many cookies will each friend get ?,/ number1 number0,3.0,4.0 12.0
Jane buys an apple for $ number0 and pays with a $ number1 bill . How much change will she get ?,- number1 number0,4.25,0.75 5.0
"Edward started his own lawn mowing business . In the spring he made number0 dollars mowing lawns and in the summer he made number1 dollars . If he had to spend number2 dollars buying supplies , how much money did he end up with ?",- + number0 number1 number2,24.0,2.0 27.0 5.0
Jacqueline has number0 boxes of erasers . Each box holds number1 erasers and there are number2 boxes in a case . How many erasers does Jacqueline have ?,* number0 number1,40.0,4.0 10.0 9.0
"Oliver had number0 socks . If he threw away number1 old ones that did n't fit and bought number2 new ones , how many socks would he have ?",- + number0 number2 number1,33.0,11.0 4.0 26.0
Nancy had number0 files on her computer . She deleted number1 of them and put the rest into folders with number2 files in each one . How many folders did Nancy end up with ?,/ - number0 number1 number2,7.0,80.0 31.0 7.0
"Sarah had number0 homework problems . She finished number1 of them but still had number2 pages of problems to do . If each page has the same number of problems on it , how many problems are on each page ?",/ - number0 number1 number2,8.0,60.0 20.0 5.0
"Nancy was organizing her book case making sure each of the shelves had exactly number0 books on it . If she had number1 shelves of mystery books and number2 shelves of picture books , how many books did she have total ?",* number0 + number0 number1,48.0,6.0 2.0 6.0
Mrs. Hilt wants to make a border around her garden . She needs number0 rocks to complete the border . She has number1 rocks . How many more rocks does she need to complete the border ?,- number0 number1,61.0,125.0 64.0
Anne weighs number0 pounds . Douglas weighs number1 pounds . How much heavier is Anne than Douglas ?,- number0 number1,15.0,67.0 52.0
"Kendall is learning to drive , so this weekend she practiced driving number0 of a mile with her mother and another number1 of a mile with her father . How far did Kendall drive in all ?",+ number0 number1,0.6666666666666666,0.16666666666666666 0.5
Sandy grew number0 pumpkins . Mike grew number1 pumpkins . How many pumpkins did they grow in total ?,+ number0 number1,74.0,51.0 23.0
"The school cafeteria had number0 apples . If they used number1 to make lunch for the students and then bought number2 more , how many apples would they have ?",- + number0 number2 number1,38.0,17.0 2.0 23.0
Albert has two snakes . The garden snake is number0 inches long . The boa constrictor is number1 times longer than the garden snake . How long is the boa constrictor ?,* number0 number1,70.0,10.0 7.0
"There were number0 friends playing a video game online when number1 players quit . If each player left had number2 lives , how many lives did they have total ?",* number1 - number0 number1,15.0,8.0 3.0 3.0
"Gloria has number0 pencils . Lisa has number1 pencils . If Lisa gives all of her pencils to Gloria , how many pencils will Gloria have ?",+ number0 number1,101.0,2.0 99.0
There are number0 oranges in a box . Deborah has number1 oranges in a bag . Susan takes number2 oranges out of the box . How many oranges are left in the box ?,- number0 number2,20.0,55.0 11.0 35.0
"At Lindsey 's Vacation Wear , number0 the garments are bikinis and number1 are trunks . What fraction of the garments are either bikinis or trunks ?",+ number0 number1,0.625,0.375 0.25
Michael has some fish in his fish tank . Ben gave him number0 more fish . Now he has number1 . How many fish did he have to begin with ?,- number1 number0,31.0,18.0 49.0
"A florist had number0 roses . If she sold number1 of them and then later picked number2 more , how many roses would she have ?",- + number0 number2 number1,41.0,11.0 2.0 32.0
There are number0 short trees and number1 tall trees currently in the park . Park workers will plant number2 short trees today . How many short trees will the park have when the workers are finished ?,+ number0 number2,217,112.0 119.0 105.0
