Question,Equation,Answer,Numbers
cindy and dan have the same number of stickers . cindy used number0 of her stickers . dan bought number1 more stickers . how many more stickers did dan have than cindy then ?,+ number0 number1,33.0,15.0 18.0
while playing a video game victor lost number0 lives . now he has number1 lives . what 's the difference between the number of the lives that victor lost and now ?,- number0 number1,12.0,14.0 2.0
"I have number0 cents to buy candy . If each piece of bulk candy costs number1 cents , how many gumdrops can I buy ?",/ number0 number1,28.0,224.0 8.0
a group of number0 friends were dressing as pirates for halloween . if each costume cost number1 dollars how much did they spend ?,* number0 number1,40.0,8.0 5.0
"Edward earned number0 dollars for each lawn he mowed . If he had number1 lawns to mow , but forgot to mow number2 of them , how much money did he actually earn ?",* - number1 number2 number0,36.0,9.0 6.0 2.0
jill invited number0 people to her birthday party . they each ate number1 pieces of pizza . how many pieces of pizza did they eat ?,* number0 number1,296.0,37.0 8.0
The Ferris wheel in Paradise Park has number0 seats . Each seat can hold number1 people . How many people can ride the Ferris wheel at the same time ?,* number0 number1,84.0,14.0 6.0
amy was buying different soups . she bought number0 cans of chicken soup and number1 cans of tomato soup . how many soups did she buy ?,+ number0 number1,9.0,6.0 3.0
the music room has number0 violins . there are also number1 flutes . number2 students are in the school band . how many instruments are in the music room ?,+ number0 number1,42.0,27.0 15.0 18.0
kevin and his family just moved to a new neighborhood so they are holding a party to be able to meet their new neighbors . for the party they prepared a few snacks for everyone . if his sister prepared number0 mini cupcakes and his mother prepared number1 how many did his grandmother prepare if they have a total of number2 cupcakes ?,- number2 + number0 number1,45.0,25.0 30.0 100.0
"Jacques earns number0 dollars per hour . For each hour over number1 hours he earns number2 dollars per hour . If he works number3 hours in a week , what pay should he receive ?",+ * number0 number1 * - number3 number1 number2,543.95,8.6 40.0 12.9 55.5
"Debby 's class is going on a field trip to the zoo . If each van can hold number0 people and there are number1 students and number2 adults going , how many vans will they need ?",/ + number1 number2 number0,2.0,4.0 2.0 6.0
"Tim got number0 nickels and number1 dimes for shining shoes , and in his tip jar found number2 dimes and number3 half - dollars . How much money did Tim get ?",+ + + * number0 0.05 * number1 0.1 * number2 0.1 * number3 0.5,6.65,3.0 13.0 7.0 9.0
charlie an aspiring inventor is planning to make some wings to fulfill his dream to fly around the world . he started by collecting feathers . he needs number0 feathers and he already has number1 how many more feathers does he need to collect ?,- number0 number1,513.0,900.0 387.0
A pet store had number0 siamese cats and number1 house cats . During a sale they sold number2 cats . How many cats do they have left ?,- + number0 number1 number2,54.0,41.0 28.0 15.0
"Joan found number0 seashells on the beach , she gave Mike number1 of the seashells . How many seashells does she now have ?",- number0 number1,16.0,79.0 63.0
There are number0 walnut trees currently in the park . Park workers will plant walnut trees today . When the workers are finished there will be number1 walnut trees in the park . How many walnut trees did the workers plant today ?,- number1 number0,33,22.0 55.0
she wants to know how many children will go trick or treating in their village . if there are number0 children on each of the number1 blocks how many children will go trick or treating in annie 's village ?,* number0 number1,54.0,6.0 9.0
"At the arcade Dave won number0 tickets . If he spent number1 tickets on a beanie and later won number2 more tickets , how many would he have ?",- + number0 number2 number1,18.0,25.0 22.0 15.0
jesse 's room is number0 feet long and number1 feet wide . how much carpet does she need to cover the whole floor ?,* number0 number1,96.0,12.0 8.0
Maggi had number0 packages of cupcakes . There are number1 cupcakes in each package . She ate number2 cupcakes . How many are left ?,* number0 number1,12.0,3.0 4.0 5.0
another material that he needs is rope . if he already has number0 feet of rope and he needs additional ropes having number1 times the length of what he already have how long should be the additional rope ?,* number0 number1,30.0,6.0 5.0
Fred has number0 cents in his bank . How many dimes does Fred have ?,/ number0 10.0,9.0,90.0
Lizette has number0 stamps . Lizette has number1 more stamps than Minerva . How many stamps does Minerva have ?,- number0 number1,688.0,813.0 125.0
There are number0 bicycles and number1 tricycles in the storage area at Danny 's apartment building . Each bicycle has number2 wheels and each tricycle has number3 wheels . How many wheels are there in all ?,+ * number0 number2 * number1 number3,90.0,24.0 14.0 2.0 3.0
Fred has number0 baseball cards . Melanie bought number1 of Fred 's baseball cards . How many baseball cards does Fred have now ?,- number0 number1,2,5.0 3.0
"During number0 year , the Wagners ' real estate bill included number1 dollars for local schools . Of this amount , number2 dollars went to the high school district . What percent did the Wagner family pay to the high school district ?",* / number2 number1 100.0,25.0,1.0 600.0 150.0
there are number0 cats in the little town . if number1 of them are a asleep how many cats are still awake ?,- number0 number1,6.0,98.0 92.0
Mary had number0 nickels in her bank . Her dad gave her number1 nickels . How many nickels does Mary have now ?,+ number0 number1,12,7.0 5.0
The schools debate team had number0 boys and number1 girls on it . If they were split into groups of number2 how many groups could they make ?,/ + number0 number1 number1,8.0,28.0 4.0 4.0
There are number0 cupcakes for number1 children to share . How much will each person get if they share the cupcakes equally ?,/ number0 number1,12.0,96.0 8.0
There are number0 calories in a candy bar . How many calories are there in number1 candy bars ?,* number0 number1,341.0,31.0 11.0
number0 the students in the band are in the trumpet section . number1 the students in the band are in the trombone section . What fraction of the students in the band are in either the trumpet section or the trombone section ?,+ number0 number1,0.625,0.5 0.125
pinky the pig bought number0 apples while danny the duck bought number1 how many apples do they have altogether ?,+ number0 number1,109.0,36.0 73.0
A multi - national corporation has number0 part - time employees and number1 full - time employees . How many employees work for the corporation ?,+ number0 number1,65134.0,2041.0 63093.0
alvin had number0 marbles and played number1 games . he lost number2 marbles during the first game . he won number3 marbles during the second game . how many marbles did alvin have then ?,+ - number0 number2 number3,64.0,57.0 2.0 18.0 25.0
a museum had number0 paintings . if they got rid of number1 of them how many pictures would they have left ?,- number0 number1,5.0,13.0 8.0
a new building needed number0 windows . the builder had already installed number1 of them . if it takes number2 hours to install each window how long will it take him to install the rest ?,* - number0 number1 number2,36.0,14.0 5.0 4.0
mrs. hilt bought carnival tickets . the tickets cost $ number0 for number1 tickets . if mrs. hilt bought number2 tickets how much did she pay ?,/ number2 number1,3.0,1.0 4.0 12.0
the number0 groups will also collect garbage from all the number1 houses in the city . if lizzie 's group covered number2 houses while the other group covered number3 how many more houses remain ?,- number1 + number2 number3,25.0,2.0 453.0 238.0 190.0
sally memorized number0 poems . after some time she could only recite number1 of them . how many poems did she forget ?,- number0 number1,5.0,8.0 3.0
"Kaleb had number0 pieces of clothing to wash . He put number1 of them in one load , but decided to split the rest into number2 equal loads . How many pieces of clothing could go in each of the small loads ?",/ - number0 number1 number2,4.0,39.0 19.0 5.0
